8606,82—85,Tips & Tricks C 128,Verschiedenes,Tips & Tricks zum C 128 (Ft.: 09/86 61)
8606,82—89,Hardware,Hardware,Umschaltbares 64'er-DOS (Ft.: 09/86 61)
8606,87,Spiele-Test,Abenteuerlösungen,Die Löeung zu »The Institute«
8606,88—89,Software Tips,CP/M,Die CP/M-Ecke (Teil 1)
8606,92—93,64'er Extra,Speicher,Speicherstellen 0 bis 1023
8606,96,Tips & Tricks C 64,Assembler,Endlich: Hypra-Ass mit Datasette
8606,97,Buchbesprechungen,C 128,C 128 ROM-Listing — Operating System
8606,97,Buchbesprechungen,Amiga,Das Amiga-Handbuch
8606,97,Buchbesprechungen,Dateiverwaltung,Die Dateiverwaltung für den C 64 und C 128
8606,103—106,Tips & Tricks C 64,Programmierung,Module für Hypra-Basic (Ft.: 06/86 73)
8606,134—138,Software-Grundlagen und Kurse,Programmierung,Von Basic zu Assembler (Teil 4)
8606,140—144,Software-Grundlagen und Kurse,Strukturiertes Programmieren,Programmieren Sie strukturiert (Teil 3)
8606,145—149,Software-Grundlagen und Kurse,Speicher,Memory Map mit Wandervorschlägen (18 Schluß)
8606,150—151,Software-Test,Drucker Grafik,Neues aus der Heimdruckerei (Printmaster)
8606,152—153,Software-Test,Toolkits,Zwei fliegende Holländer (Erweiterung) (Ft.: 07/86 84)
8606,154—155,Software-Test,Drucker Grafik,Ein ausgefuchstes Programm (Printfox)
8606,154—158,Software-Grundlagen und Kurse,Speicher,Memory Map mit Wandervorschlägen (17)
8606,156,Spiele-Test,Actionspiele,Das Action-Spiel lebt! (Uridium/Critical Mass)
8606,158,Spiele-Test,Abenteuerspiele,Dem Täter auf der Spur (Perry Mason/Borrowed Time)
8606,159,Tips & Tricks Anwenderprogramme,Datenbank,Superbase 64 (Teil 3)
8606,160—161,Software Tips,Drucker,So steuert man Drucker
8606,161—164,Tips & Tricks Anwenderprogramme,Textverarbeitung,Tips & Tricks zu Vizawrite 64 (Teil 6)
8606,166,Spiele-Test,Verschiedene,Von d. Leinwand z. Computer (Yabbad.../Back to t. Fu.)
8606,169—173,Verschiedenes,Knobeleien,Nim(m) mit Verstand (2)
8606,173—176,Verschiedenes,Sound,Über den Wolken ... (Ft.: 07/86 84)
8606,176—177,Verschiedenes,Knobeleien,Computer-Knobeleien (1)
8607,10,Datenfernübertragung,Hardware,Modem kontra Akustikkoppler
8607,10,Datenfernübertragung,Hardware,Simultanes Sprach- und Datenmodem
8607,11,Datenfernübertragung,Hardware,Anti-Hacker-Modem
8607,11,Aktuell,Spiele,Libyen-Angriff umgesetzt
8607,16—21,Sonstige Rubriken,Forschung/Technik,Der C 64 in Forschung und Technik
8607,22—32,Sonstige Rubriken,Forschung/Technik,Die Wachstumspyramide
8607,26—27,Datenfernübertragung,Datex-P,Meilenweit (Datex-P Grundlagen)
8607,28—40,Datenfernübertragung,ISDN,Die totale Kommunikation
8607,30—32,Hardware-Test,Monitor,Monitore (Test)
8607,33—34,Hardware,Monitor,Selbstbau: Daß richtige Kabel zum Monitor
8607,36—40,Hardware,DFÜ,Hardware Modem mit Wählautomatik (Selbstbau) (Ft.: 09/86 61)
8607,42—43,Hardware-Test,Drucker,Seikosha MP-1300-AI — Geschwindigkeit ist Trumpf
8607,43—44,Hardware-Test,Drucker,CPA-80X — der vielseitige Drucker
8607,44—45,Hardware-Test,Diskette,Schnell — schneller — TurboTrans
8607,46,Hardware-Test,Druckerinterface,Merlin Face C + — «zauberhaftes» Centronics-Interface
8607,49—66,Listings zum Abtippen,Textverarbeitung,Variosystem - die gelungene Erweiterung von Vizawrite
8607,50—56,Anwendung des Monats,Sound,Das Rhythm Construction Set (R.C.S.)
8607,67—72,Listings zum Abtippen,Textverarbeitung,Die ideale Ergänzung (MPS + Epson mit Master Text)
8607,73—76,Listings zum Abtippen,Spiele,Vectors - ein tierisches Vergnügen
8607,79—81,Tips & Tricks C 64,Profis,Tips & Tricks für Profis (Ft.: 09/86 61)
8607,85—88,Tips & Tricks C 128,Reisebericht,Reise durch den C 128 (Teil 3)
8607,89—90,Listings zum Abtippen,Drucker Grafik,Newsroom druckt deutsch
8607,92—93,64'er Extra,Drucker,Alles Interessante zum Thema Drucker
8607,96,Software Tips,CP/M,Die CP/M-Ecke (Teil 2)
8607,96—97,Tips & Tricks C 64,Programmierung,"Module für Hypra-Basic, Neues vom"
8607,98—99,"Tips & Tricks C 16, 116, Plus/4",Verschiedenes,"Tips & Tricks zum C 16, C 116, Plus/4"
8607,133—135,Sonstige Rubriken,Forschung/Technik,Computer-Simulation für Einsteiger (Ft.: 09/86 61)
8607,136—138,Software-Grundlagen und Kurse,Sprachen: Pascal,Pascal-Kurs für Anfänger (Teil 4)
8607,139—141,Software-Grundlagen und Kurse,Programmierung,Von Basic zu Assembler (Teil 5)
8607,142—146,Software-Grundlagen und Kurse,Programmierung,Neues zum Thema Sortieren
8607,147—149,Hardware-Grundlagen,Druckerkurs,Kennen Sie Ihren Drucker? (Teil 1)
8607,150—152,Software-Grundlagen und Kurse,Grafik für Profis,Grafik für Profis (Teil 2)
8607,153—154,Software-Test,Spiele-Selbstbau,Das System für alle Fälle? (RP-System)
8607,157—159,Software-Test,Textverarbeitung,Maintext 64 — nur schreiben müssen Sie noch selbst
8607,161—162,Spiele-Test,Fantasyspiele,Fantasy wie nie (Alternate Reality/Bard's Tale)
